Amsterdam Noord,asd009,11,1692690585,OV_FIETS,Yes
Obdam,obd001,2,1692690585,OV_FIETS,Yes
Tiel,tl003,15,1692690585,OV_FIETS,Yes
OV-ebike Groningen,gn004,18,1692690585,OV_FIETS,Yes
Oss West,ow001,8,1692690585,OV_FIETS,Yes
Groningen,gn001,374,1692690585,OV_FIETS,Yes
Emmen,emn001,12,1692690585,OV_FIETS,Yes
Utrecht Lunetten,utl001,0,1692690585,OV_FIETS,Yes
Zandvoort,zvt001,9,1692690585,OV_FIETS,Yes
OV-fiets - Maastricht,mt001,72,1692690585,OV_FIETS,Yes
OV-ebike Maastricht,mt003,15,1692690585,OV_FIETS,Yes
Putten,pt001,3,1692690585,OV_FIETS,Yes
Heerenveen,hr002,8,1692690585,OV_FIETS,Yes
Kampen,kpn003,27,1692690585,OV_FIETS,Yes
Veendam,Vdm001,5,1692690585,OV_FIETS,Yes
Didam,did001,1,1692690585,OV_FIETS,Yes
Gouda,gd001,63,1692690585,OV_FIETS,Yes
Heemstede-Aerdenhout,had002,12,1692690585,OV_FIETS,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,1,1692690585,OV_FIETS,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,2,1692690585,OV_FIETS,Yes
Enkhuizen,ekz001,18,1692690585,OV_FIETS,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,17,1692690585,OV_FIETS,Yes
Horst Sevenum,hrt001,1,1692690585,OV_FIETS,Yes
Goor,go001,3,1692690585,OV_FIETS,Yes
Sleeuwijk Tol West,GR002 ,3,1692690585,OV_FIETS,Yes
Barneveld Centrum,bnc001,3,1692690585,OV_FIETS,Yes
Zoetermeer Oost,ztmo001,3,1692690585,OV_FIETS,Yes
Oisterwijk,Ot001,6,1692690585,OV_FIETS,Yes
Duivendrecht,dvd001,2,1692690585,OV_FIETS,Yes
Helmond 't Hout,hmh001,4,1692690585,OV_FIETS,Yes
Dronten,DRON001,0,1692690585,OV_FIETS,Yes
Pijnacker Zuid,rtd907,1,1692690585,OV_FIETS,Yes
Utrecht Leidsche Rijn,utlr001,0,1692690585,OV_FIETS,Yes
Sittard,std002,21,1692690585,OV_FIETS,Yes
Diemen,dmn001,0,1692690585,OV_FIETS,Yes
Amsterdam Centraal Stationsplein,asd010,143,1692690585,OV_FIETS,Yes
Zevenaar,zv001,3,1692690585,OV_FIETS,Yes
Hoogkarspel,hks001,2,1692690585,OV_FIETS,Yes
Westervoort,wtv001,0,1692690585,OV_FIETS,Yes
Bussum Zuid,bsmz001,0,1692690585,OV_FIETS,Yes
Amsterdam RAI,rai001,0,1692690585,OV_FIETS,Yes
Velp,vp001,2,1692690585,OV_FIETS,Yes
Leeuwarden,lw001,86,1692690585,OV_FIETS,Yes
Bunnik,bnk001,7,1692690585,OV_FIETS,Yes
Meppel,mp002,15,1692690585,OV_FIETS,Yes
Amsterdam Amstel,asa001,4,1692690585,OV_FIETS,Yes
Weert,wt003,3,1692690585,OV_FIETS,Yes
Ede-Wageningen Zuidzijde,ed001,8,1692690585,OV_FIETS,Yes
Oss,o002,8,1692690585,OV_FIETS,Yes
Delfzijl,Dz001,1,1692690585,OV_FIETS,Yes
Otterlo,ed901,18,1692690585,OV_FIETS,Yes
Winsum,Wsm001,4,1692690585,OV_FIETS,Yes
Schiphol,shl001,3,1692690585,OV_FIETS,Yes
Geldermalsen,gdm001,0,1692690585,OV_FIETS,Yes
Amsterdam Centraal Oost,asd002,9,1692690585,OV_FIETS,Yes
Vleuten,vtn001,1,1692690585,OV_FIETS,Yes
Hilversum,hvs001,26,1692690585,OV_FIETS,Yes
't Harde,Hde001,0,1692690585,OV_FIETS,Yes
Duiven ,dvn001,18,1692690585,OV_FIETS,Yes
Terborg,tbg001,5,1692690585,OV_FIETS,Yes
Den Haag Centraal Stichthage,gvc001,13,1692690585,OV_FIETS,Yes
Varsseveld,vsv001,1,1692690585,OV_FIETS,Yes
Santpoort Zuid,sptz001,8,1692690585,OV_FIETS,Yes
Tilburg Zuid,tb003,0,1692690585,OV_FIETS,Yes
Tilburg Noord,tb002,0,1692690585,OV_FIETS,Yes
Breukelen,bkl001,0,1692690585,OV_FIETS,Yes
Leiden de Vink,dvnk001,2,1692690585,OV_FIETS,Yes
Beesd,bsd001,2,1692690585,OV_FIETS,Yes
Deurne,dn001,5,1692690585,OV_FIETS,Yes
Rhenen,rhn001,2,1692690585,OV_FIETS,Yes
Zoetermeer Driemanspolder,ztm003,9,1692690585,OV_FIETS,Yes
Landgraaf,lg001,3,1692690585,OV_FIETS,Yes
Heeze-Leende,hze001,3,1692690585,OV_FIETS,Yes
Hilversum Sportpark ,hvsp001,14,1692690585,OV_FIETS,No
Olst,ost001,3,1692690585,OV_FIETS,Yes
Maarssen,mas003,17,1692690585,OV_FIETS,Yes
Amersfoort Mondriaanplein,amf002,43,1692690585,OV_FIETS,Yes
Amersfoort Centraal,amf001,105,1692690585,OV_FIETS,Yes
Hillegom,hil001,1,1692690585,OV_FIETS,Yes
Utrecht Centraal Stationsplein,ut020,240,1692690585,OV_FIETS,Yes
Almere Centrum Landdrostdreef,alm001,38,1692690585,OV_FIETS,Yes
Doetinchem,dtc001,0,1692690585,OV_FIETS,Yes
