"description","locationCode","lat","lon","postalCode","houseNumber","city"
"Voorhout","vh001","52.2237","4.4842","2215 KN","21","Voorhout"
"Maastricht Noord","mtn001","50.871155","5.717754","6222 PB","6","Maastricht"
"Doetinchem de Huet","dtch001","51.95929","6.25961","7006 NA","2","Doetinchem"
"Delden","ddn001","52.26021","6.71482","7491 CE","5","Delden"
"Muiden P&R","wp901","52.32876","5.05091","1398 PN",,"Muiden"
"'t Harde","Hde001","52.408791","5.89185","8084 HW","3","'t Harde"
"Hengelo Gezondheidspark","hglg001","52.26183","6.76561","7555 TC","44","Hengelo"
"Bodegraven","bdg001","52.081541","4.746529",,,
"Utrecht Overvecht","uto001","52.109965","5.123593","3561 GG","10","Utrecht"
"Hilversum Sportpark","hvsp001","52.21633","5.18768","1213 VR","33","Hilversum"
"Delft Zuid","dtz001","51.99038","4.36439","2624 VD","3","Delft"
"Vught","Vg001","51.655932","5.292129","5261 VB","27","Vught"
"Amsterdam Zuid Zuidplein","asdz001","52.340294","4.873381","1077 XV","16E","Amsterdam"
"Heemskerk","hk001","52.49418","4.68518","1966 SP","5","Heemskerk"
"Amsterdam Zuid Mahlerplein","asdz003","52.336448","4.873438","1082 MS","1","Amsterdam"
"Utrecht Vaartsche Rijn Oosterkade","UTVR002","52.078023","5.122392","3523 CA","103","Utrecht"
"Utrecht Zuilen","utzl001","52.10341","5.08945","3534 BA","223","Utrecht"
"Alphen aan den Rijn","apn001","52.12492","4.65789","2405 DG","1","Alphen aan Den Rijn"
"Rotterdam Blaak","rtb001","51.920017","4.488638","3011 MD","172","Rotterdam"
"Vriezenveen","vz001","52.40158","6.60089","7671 JK","11","Vriezenveen"
"Zwijndrecht","zwd003","51.81608","4.64041","3331 LL","1A","Zwijndrecht"
"OV-ebike Driebergen-Zeist","db003","52.065","5.25978","3972 KA",,"Driebergen-Zeist"
"Eindhoven Noordzijde","ein001","51.443676","5.480101","5611 AD","2","Eindhoven"
"Eindhoven Zuidzijde (centrum)","ehv002","51.442199","5.480273","5611 AB","22","Eindhoven"
