description,locationCode,rentalBikes,fetchTime,open
Beesd,bsd001,3,1688566571,Yes
Amsterdam Centraal West,asd007,2,1675083239,Yes
Amersfoort Mondriaanplein,amf002,61,1688566571,Yes
Amersfoort Centraal,amf001,273,1688566571,Yes
Almere Centrum,alm003,24,1672730464,Yes
Utrecht Centraal Stationsplein,ut020,561,1688566571,Yes
Utrecht Centraal Knoop,ut021,36,1688566571,Yes
Zaandam,ZD003,41,1668506290,Yes
Diemen Zuid,dmnz001,1,1688566571,Yes
Beilen,bl001,19,1688566571,Yes
Den Dolder,dld001,1,1688566571,Yes
's-Hertogenbosch Oost,Hto001,6,1688566571,Yes
Assen,asn001,153,1688566571,Yes
Vlissingen,vs001,15,1688566571,Yes
Enschede,es003,65,1688566571,Yes
Helmond,hm001,11,1688566571,Yes
Delfzijl,Dz001,2,1688566571,Yes
Sliedrecht,sdt001,2,1688566571,Yes
Voorschoten,vst001,1,1688566571,Yes
Wijhe,wh001,0,1688566571,Yes
Maarssen,MAS001,,1666857726,Yes
Hillegom,hil001,2,1688566571,Yes
Castricum,cas002,43,1688566571,Yes
Hoofddorp,hfd001,39,1668505847,Yes
Rotterdam Lombardijen,rlb001,3,1688566571,Yes
Reuver,rv001,8,1688566571,Yes
Ede-Wageningen Zuidplein,ed002,18,1688566571,Yes
Wijchen,wc001,3,1688566571,Yes
Elst,est001,2,1688566571,Yes
Apeldoorn,apd001,284,1688566571,Yes
"Delft, Fietsenstalling",dt002,171,1688566571,Yes
Rijswijk,rsw002,27,1688566571,Yes
Appingedam,Apg001,4,1688566571,Yes
Middelburg,mdb001,21,1678295851,Yes
Rijswijk,rsw001,31,1675153509,Yes
